"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Yordan Alvarez","Astros","131","569","491","136","28","2","32","84","93","70","141","3","1",".278",".369",".537",".906",".378","86.0","19556"
"J.D. Martinez","Red Sox","149","642","564","158","32","2","32","90","94","68","149","2","1",".280",".358",".512",".870",".366","93.1","6184"
"Giancarlo Stanton","Yankees","138","599","518","131","22","1","38","89","92","69","172","3","1",".253",".347",".518",".865",".364","115.8","4949"
"Vladimir Guerrero Jr.","Blue Jays","144","624","551","160","32","2","25","86","85","61","90","3","1",".290",".364",".491",".856",".363","56.8","19611"
"Nelson Cruz","","133","571","511","134","25","1","34","78","90","47","145","1","0",".261",".332",".514",".846",".354","100.3","2434"
"Shohei Ohtani","Angels","117","505","446","119","24","3","23","76","66","52","134","14","4",".266",".345",".486",".830",".353","229.6","19755"
"Jorge Soler","Royals","143","603","523","129","25","1","32","78","90","66","170","2","1",".247",".339",".483",".822",".351","140.6","14221"
"Daniel Vogelbach","Brewers","104","468","393","94","17","1","22","60","63","67","107","0","0",".240",".354",".451",".805",".347","573.0","14130"
"Franmil Reyes","Indians","152","649","577","147","28","1","33","83","96","63","175","0","0",".255",".329",".479",".808",".342","159.2","14566"
"Rowdy Tellez","Blue Jays","100","434","389","97","21","1","21","56","61","37","100","2","1",".250",".320",".467",".787",".334","266.0","15679"
"Ji-Man Choi","Rays","107","459","392","95","21","1","17","56","57","58","108","2","1",".242",".343",".428",".771",".334","530.4","5452"
"Nate Lowe","Rangers","123","521","457","115","23","1","18","61","61","56","134","1","1",".251",".336",".429",".764",".330","327.4","19566"
"Luis Campusano","Padres","18","77","70","19","4","0","2","9","10","6","11","0","0",".271",".332",".421",".752",".324","999.0","22217"
"Yoshitomo Tsutsugo","Rays","63","271","234","52","11","1","12","32","36","34","78","0","0",".223",".324",".425",".749",".323","495.0","27459"
"Edwin Encarnacion","","58","252","220","48","8","0","13","32","35","26","64","1","0",".220",".310",".440",".750",".322","591.3","2151"
"Shin-Soo Choo","","81","350","299","70","14","1","10","44","36","42","92","5","2",".234",".340",".387",".728",".322","540.7","3174"
"Mike Ford","Yankees","29","127","111","26","5","0","5","16","16","13","25","0","0",".233",".321",".426",".747",".322","599.5","15585"
"Renato Nunez","","109","469","420","99","19","1","22","57","63","38","125","1","0",".236",".308",".440",".748",".320","428.5","14503"
"Miguel Cabrera","Tigers","143","612","547","142","25","1","18","66","72","56","124","1","0",".260",".330",".406",".736",".318","507.9","1744"
"Ha-seong Kim","Padres","73","331","297","74","17","2","10","41","39","29","62","6","2",".247",".317",".418",".736",".316","999.0","sa3011918"
"Yermin Mercedes","White Sox","8","32","29","7","1","0","1","4","4","3","7","0","0",".246",".311",".423",".734",".313","999.0","17423"
"Khris Davis","Athletics","130","551","485","107","19","1","25","64","70","54","154","1","0",".221",".306",".421",".727",".312","503.4","9112"
"Tyler Stephenson","Reds","50","207","186","45","10","0","6","24","23","17","50","0","0",".244",".315",".403",".718",".311","391.3","17988"
"Andy Young","Diamondbacks","26","117","104","24","5","1","4","14","14","8","32","1","0",".231",".306",".406",".712",".309","999.0","19521"
"Yadiel Hernandez","Nationals","18","81","73","17","3","0","2","9","9","8","21","0","0",".239",".313",".385",".698",".302","999.0","19334"
"Brent Rooker","Twins","28","118","106","24","5","0","4","14","14","10","41","0","0",".222",".299",".398",".697",".302","584.0","19627"
"Zack Collins","White Sox","36","140","119","24","5","0","5","16","16","19","47","0","0",".198",".313",".365",".678",".300","999.0","19181"
"Bobby Bradley","Indians","18","76","68","14","3","0","3","9","10","7","27","0","0",".211",".288",".407",".695",".298","600.8","17278"
"Zach McKinstry","Dodgers","36","163","147","35","8","1","4","19","17","13","40","2","1",".234",".304",".374",".677",".296","999.0","19392"
"Jorge Ona","Padres","3","15","13","3","1","0","0","2","2","1","4","0","0",".229",".296",".371",".667",".290","999.0","20040"
"Taylor Jones","Astros","3","14","12","3","1","0","0","2","2","1","4","0","0",".219",".300",".361",".661",".290","999.0","19533"
"Mark Trumbo","","24","105","96","21","4","0","4","11","13","8","29","0","0",".217",".282",".386",".667",".289","999.0","6876"
"Luis Gonzalez","White Sox","6","28","25","6","1","0","1","3","3","2","6","0","0",".229",".295",".364",".659",".288","999.0","20332"
"Jose Marmolejos","Mariners","71","302","276","63","13","1","9","30","32","21","77","0","0",".228",".287",".376",".663",".287","598.8","15767"
"Derek Hill","Tigers","2","7","6","1","0","0","0","1","1","0","2","0","0",".214",".274",".342",".615",".269","999.0","16947"
"Nick Heath","Royals","23","96","85","18","3","1","1","11","6","8","32","4","1",".212",".283",".306",".588",".263","999.0","19577"
"Albert Pujols","Angels","102","442","418","88","16","0","14","42","49","18","68","1","0",".210",".244",".353",".596",".256","582.6","1177"
